work_school_address,emp_naics_11,emp_naics_21,emp_naics_23,emp_naics_72,emp_naics_92,emp_naics_48-49,emp_naics_52,emp_naics_61,emp_naics_62,emp_naics_81,emp_total
231,17.0,20.0,4.0,5.0,3.0,8.0,1.0,10.0,3.0,57.0,128.0
232,13.0,50.0,12.0,2.0,2.0,6.0,1.0,3.0,2.0,67.0,158.0
233,41.0,31.0,8.0,17.0,4.0,3.0,1.0,5.0,0.0,62.0,172.0
234,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
235,13.0,29.0,12.0,8.0,9.0,9.0,6.0,7.0,3.0,101.0,197.0
236,6.0,10.0,8.0,0.0,2.0,5.0,2.0,7.0,3.0,27.0,70.0
237,15.0,35.0,18.0,18.0,15.0,10.0,6.0,16.0,8.0,85.0,226.0
238,14.0,60.0,17.0,37.0,23.0,21.0,9.0,12.0,2.0,101.0,296.0
239,20.0,102.0,27.0,11.0,4.0,14.0,5.0,15.0,9.0,227.0,434.0
240,15.0,354.0,27.0,42.0,11.0,15.0,14.0,3.0,5.0,340.0,826.0
241,13.0,331.0,37.0,62.0,33.0,46.0,16.0,23.0,16.0,312.0,889.0
242,0.0,39.0,12.0,24.0,3.0,10.0,2.0,3.0,6.0,80.0,179.0
243,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,12.0
244,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0
245,0.0,11.0,2.0,3.0,0.0,4.0,1.0,1.0,0.0,4.0,26.0
246,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
247,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
248,4.0,94.0,6.0,8.0,2.0,16.0,0.0,4.0,2.0,110.0,246.0
249,3.0,32.0,4.0,10.0,7.0,10.0,3.0,9.0,2.0,106.0,186.0
250,2.0,25.0,3.0,23.0,18.0,1.0,12.0,3.0,9.0,67.0,163.0
251,24.0,52.0,19.0,11.0,8.0,20.0,3.0,17.0,3.0,221.0,378.0
252,20.0,39.0,12.0,17.0,1.0,14.0,6.0,6.0,6.0,147.0,268.0
253,2.0,40.0,9.0,15.0,15.0,5.0,16.0,11.0,9.0,37.0,159.0
254,2.0,36.0,19.0,25.0,5.0,6.0,9.0,17.0,10.0,49.0,178.0
255,11.0,25.0,13.0,20.0,2.0,11.0,7.0,10.0,4.0,74.0,177.0
256,6.0,27.0,5.0,11.0,3.0,5.0,3.0,3.0,8.0,45.0,116.0
257,5.0,200.0,18.0,57.0,5.0,11.0,5.0,6.0,10.0,119.0,436.0
258,6.0,195.0,16.0,20.0,4.0,13.0,2.0,3.0,6.0,125.0,390.0
259,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,8.0
260,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0
261,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
262,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0
263,7.0,19.0,17.0,34.0,6.0,4.0,5.0,10.0,4.0,27.0,133.0
264,19.0,138.0,20.0,28.0,12.0,9.0,8.0,9.0,9.0,87.0,339.0
265,27.0,41.0,10.0,8.0,7.0,4.0,2.0,6.0,9.0,41.0,155.0
266,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,14.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
268,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
269,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
270,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
273,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
274,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,3.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,20.0
277,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0
278,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
279,2.0,32.0,4.0,4.0,4.0,6.0,4.0,2.0,1.0,28.0,87.0
280,2.0,13.0,2.0,1.0,0.0,6.0,0.0,0.0,2.0,14.0,40.0
281,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,14.0
283,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,9.0
284,1.0,16.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,25.0
285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
288,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
292,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
304,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
